tick,equity
0,100000.00
1,100000.00
2,100000.00
3,97191.28
4,97057.57
5,95845.88
6,95096.27
7,121885.93
8,121883.12
9,119582.29
10,133456.87
11,136479.45
12,134201.38
13,134196.72
14,157923.43
15,155855.86
16,163442.85
17,163398.33
18,171481.66
19,171351.50
20,180918.32
21,180670.86
22,210547.01
23,210570.12
24,207365.60
25,209050.87
26,210599.67
27,235923.36
28,244704.22
29,244652.81
30,239387.25
31,239487.65
32,239379.48
33,239233.27
34,238949.91
35,238818.88
36,253382.63
37,253382.74
38,253427.10
39,253266.47
40,257741.23
41,257982.90
42,256012.69
43,266920.34
44,284423.28
45,276821.74
46,276775.34
47,276660.90
48,272234.25
49,273112.11
50,281149.99
51,273509.25
52,280991.71
53,273124.97
54,270314.86
55,270357.68
56,270188.86
57,264839.02
58,264971.34
59,265697.25
60,189258.89
61,189258.89
62,189258.89
63,188949.28
64,189341.17
65,188885.70
66,188509.28
67,191387.87
68,191402.53
69,191160.22
70,191156.20
71,191155.64
72,194777.36
73,197049.58
74,199318.00
75,199292.51
76,200998.98
77,201710.26
78,201600.14
79,201597.92
80,201604.60
81,201083.82
82,200775.04
83,200094.33
84,199683.71
85,199688.28
86,199700.66
87,199456.20
88,198106.90
89,198095.56
90,200530.13
91,200706.71
92,201793.83
93,203017.15
94,202920.05
95,200654.28
96,200320.43
97,200315.09
98,200317.60
99,199852.18
100,199902.58
101,199924.65
102,199362.49
103,201221.85
104,201973.84
105,202072.25
106,202070.23
107,202342.19
108,201997.01
109,201997.01
110,201997.01
111,201689.38
112,201735.47
113,201745.35
114,201385.35
115,201409.87
116,201430.45
117,201269.93
118,201290.63
119,201301.86
120,201139.34
